rtc_s;sun_vector_x;sun_vector_y;sun_vector_z
1542716404;-0.68;-0.17;0.71
1542716433;-0.98;-0.12;-0.15
1542716448;-0.93;0.13;-0.35
1542716463;-0.74;0.14;-0.65
1542716479;-0.41;0.13;-0.90
1542716494;0.18;0.12;-0.98
1542716509;0.56;0.11;-0.82
1542716524;0.82;0.10;-0.56
1542716538;0.95;-0.09;-0.30
1542716553;0.98;-0.11;0.16
1542716568;0.88;-0.14;0.45
1542716599;0.29;-0.18;0.94
1542716614;-0.11;-0.17;0.98
1542716629;-0.53;-0.17;0.83
1542716644;-0.80;-0.16;0.58
1542716658;-0.96;-0.13;0.25
1542716673;-0.98;0.09;-0.18
1542716688;-0.86;0.11;-0.49
1542716703;-0.58;0.11;-0.81
1542716719;-0.18;0.10;-0.98
1542716734;0.39;0.09;-0.92
1542716764;0.90;-0.09;-0.42
1542716778;0.98;-0.11;0.16
1542716793;0.95;-0.14;0.29
1542716808;0.77;-0.17;0.62
1542716823;0.46;-0.18;0.87
1542716839;-0.12;-0.18;0.98
1542716854;-0.33;-0.17;0.93
1542716869;-0.68;-0.16;0.72
1542716884;-0.90;-0.13;0.42
1542716898;-0.99;-0.10;-0.10
1542716928;-0.77;0.08;-0.64
1542716943;-0.42;0.07;-0.90
1542716959;0.09;0.05;-0.99
1542716974;0.51;-0.06;-0.86
1542716989;0.81;-0.08;-0.58
1542717004;0.95;-0.10;-0.30
1542717018;0.99;-0.13;0.08
1542717033;0.90;-0.17;0.41
1542717048;0.67;-0.19;0.72
1542717063;0.32;-0.19;0.93
1542717094;-0.45;-0.17;0.88
1542717109;-0.76;-0.16;0.64
1542717124;-0.95;-0.12;0.30
1542717138;-0.99;-0.09;-0.06
